subject,subj_id,session,block,prop_word_faster,pwf_ord1,pwf_ord2,nwf_ord1,nwf_ord2
14,h0905,2,4,0.75,0.25,0.125,6,3
15,h2802,1,1,0.5,0.166666666666667,0.0833333333333333,4,2
15,h2802,1,2,0.416666666666667,0.125,0.0833333333333333,3,2
15,h2802,1,3,0.583333333333333,0.166666666666667,0.125,4,3
15,h2802,1,4,0.166666666666667,0,0.0833333333333333,0,2
15,h2802,2,1,0.5,0.0833333333333333,0.166666666666667,2,4
15,h2802,2,2,0.166666666666667,0.0416666666666667,0.0416666666666667,1,1
15,h2802,2,3,0.5,0.0833333333333333,0.166666666666667,2,4
15,h2802,2,4,0.416666666666667,0.0833333333333333,0.125,2,3
16,i0902,1,1,0.583333333333333,0.125,0.166666666666667,3,4
16,i0902,1,2,0.5,0.125,0.125,3,3
16,i0902,1,3,0.5,0.125,0.125,3,3
16,i0902,1,4,0.25,0.0833333333333333,0.0416666666666667,2,1
16,i0902,2,1,0.583333333333333,0.166666666666667,0.125,4,3
16,i0902,2,2,0.416666666666667,0.0833333333333333,0.125,2,3
16,i0902,2,3,0.333333333333333,0.0833333333333333,0.0833333333333333,2,2
16,i0902,2,4,0.75,0.208333333333333,0.166666666666667,5,4
17,j2010,1,1,0.416666666666667,0.125,0.0833333333333333,3,2
17,j2010,1,2,0.25,0.0833333333333333,0.0416666666666667,2,1
17,j2010,1,3,0.583333333333333,0.25,0.0416666666666667,6,1
17,j2010,1,4,0.5,0.25,0,6,0
17,j2010,2,1,0.666666666666667,0.166666666666667,0.166666666666667,4,4
17,j2010,2,2,0.5,0.0833333333333333,0.166666666666667,2,4
17,j2010,2,3,0.666666666666667,0.208333333333333,0.125,5,3
17,j2010,2,4,0.333333333333333,0.125,0.0416666666666667,3,1
18,k0503,1,1,0.416666666666667,0.125,0.0833333333333333,3,2
18,k0503,1,2,0.5,0.0833333333333333,0.166666666666667,2,4
18,k0503,1,3,0.416666666666667,0.0833333333333333,0.125,2,3
18,k0503,1,4,0.5,0.166666666666667,0.0833333333333333,4,2
18,k0503,2,1,0.333333333333333,0.0416666666666667,0.125,1,3
18,k0503,2,2,0.666666666666667,0.208333333333333,0.125,5,3
18,k0503,2,3,0.5,0.166666666666667,0.0833333333333333,4,2
18,k0503,2,4,0.416666666666667,0.0833333333333333,0.125,2,3
19,k0511,1,1,0.333333333333333,0.166666666666667,0,4,0
19,k0511,1,2,0.166666666666667,0.0833333333333333,0,2,0
19,k0511,1,3,0.333333333333333,0.166666666666667,0,4,0
19,k0511,1,4,0.25,0.0833333333333333,0.0416666666666667,2,1
19,k0511,2,1,0.666666666666667,0.25,0.0833333333333333,6,2
