"subject","test","n.with","n.accr","mean.with","mean.accr","score"
"q0934","ordinal position",18,12,-0.00469164359659653,0.0335529559183263,-0.139828026121359
"q0934","transitional probability",6,12,0.0445018899414429,-0.0292884103656162,-1.51943684842954
"q0934","word identity",12,36,0.0335529559183263,0.0063501919026288,5.28377038565343
"q0934","duplets",8,4,0.0820748847080279,-0.063490901661077,-1.2927030891159
"b8353","ordinal position",18,12,0.396019930251361,0.0919901981905486,4.3050231224749
"b8353","transitional probability",6,12,0.118878898372865,0.534590446190608,0.222373780190002
"b8353","word identity",12,36,0.0919901981905486,-0.037877453293711,-2.42862680015032
"b8353","duplets",8,4,0.271797600561062,-0.267624606550479,-1.01559271422898
"v1790","ordinal position",18,12,0.0468364363565274,0.0497830878618717,0.940810190128824
"v1790","transitional probability",6,12,0.0452038192626206,0.0476527449034808,0.948608928072864
"v1790","word identity",12,36,0.0497830878618717,0.141044971237291,0.352958970640065
"v1790","duplets",8,4,0.0455574797584697,0.0582343040686756,0.782313457455316
"f0329","ordinal position",18,12,-0.0668910835001865,-0.0669978898557906,0.998405825081447
"f0329","transitional probability",6,12,0.00202021400659897,-0.101346732253579,-0.0199336866781674
"f0329","word identity",12,36,-0.0669978898557906,0.0229660637418404,-2.91725611358168
"f0329","duplets",8,4,-0.0416975987410262,-0.117598472085319,0.354576024684862
"i3939","ordinal position",15,10,0.0782314972372961,0.176505850019194,0.443223254236553
"i3939","transitional probability",3,12,-0.0347673866722421,0.106481218214681,-0.326511916891731
"i3939","word identity",10,30,0.176505850019194,-0.0413593393318194,-4.26761773448835
"i3939","duplets",7,3,0.191382804140939,0.141792957068456,1.3497342047006
"m1826","ordinal position",18,12,-0.057785864592243,0.0863710820701666,-0.669041804354131
"m1826","transitional probability",6,12,-0.102724298099369,-0.0353166478386801,2.90866501737635
"m1826","word identity",12,36,0.0863710820701666,0.458305330912334,0.188457511280155
"m1826","duplets",8,4,0.0570941228327192,0.144925000545061,0.393956340300078
"e9575","ordinal position",18,12,-0.075542696412972,0.0681794205470434,-1.10799851050139
"e9575","transitional probability",6,12,0.0586654233365242,-0.14264675628772,-0.411263633770932
"e9575","word identity",12,36,0.0681794205470434,-0.0467322516730017,-1.45893720302872
"e9575","duplets",8,4,-0.00264042666302083,0.209819114967172,-0.0125842998786547
"w0072","ordinal position",18,12,0.0466832685289051,0.0434810050071793,1.07364741273108
"w0072","transitional probability",6,12,-0.0171548308437835,0.0786023182152494,-0.218248408358716
"w0072","word identity",12,36,0.0434810050071793,0.00512020799612134,8.49203880782129
"w0072","duplets",8,4,-0.00233008983045615,0.13510319468245,-0.0172467411739068
"l4377","ordinal position",18,12,0.110095113277342,-0.0361082545259795,-3.04902894705501
"l4377","transitional probability",6,12,-0.0161350360266318,0.173210187929328,-0.0931529272008817
"l4377","word identity",12,36,-0.0361082545259795,0.00391912312635754,-9.21335037502096
"l4377","duplets",8,4,-0.0887347015441355,0.0691446395103325,-1.2833200400282
"l6988","ordinal position",12,8,0.137880751509897,0.0679009892257724,2.03061476838636
"l6988","transitional probability",6,6,0.218909847723281,0.0568516552965127,3.85054483605702
"l6988","word identity",8,24,0.0679009892257724,0.161298579496042,0.420964582812327
"l6988","duplets",5,3,0.024845975974801,0.139659344644058,0.177904142670327
"r6677","ordinal position",18,12,0.0219651261985295,-0.0872028033368211,-0.251885551358815
"r6677","transitional probability",6,12,0.0864908493293546,-0.010297735366883,-8.3990165068239
"r6677","word identity",12,36,-0.0872028033368211,-0.0222167262444542,3.92509690119573
"r6677","duplets",8,4,-0.102913068638228,-0.0557822727340072,1.84490634020883
"h9825","ordinal position",18,12,-0.0638722765354466,-0.0744406833481197,0.858029153718938
"h9825","transitional probability",6,12,-0.10846375003618,-0.04157653978508,2.60877289444618
"h9825","word identity",12,36,-0.0744406833481197,0.033682600086961,-2.21006344985038
"h9825","duplets",8,4,-0.072558705026135,-0.0782046399920891,0.927805626794968
"r4893","ordinal position",15,10,-0.0314320197391637,0.0922018898020281,-0.340904289561236
"r4893","transitional probability",6,9,-0.0379928631673371,-0.0270581241203815,1.40412036689266
"r4893","word identity",10,29,0.0922018898020281,-0.0222833839428041,-4.13769695117615
"r4893","duplets",6,4,0.000731609964476337,0.229407309558356,0.00318913100844432
"p0860","ordinal position",18,12,-0.015148317883659,-0.0928604677462055,0.163129889944777
"p0860","transitional probability",6,12,-0.13682287752237,0.0456889619356964,-2.9946593602835
"p0860","word identity",12,36,-0.0928604677462055,0.0082364620156215,-11.2743150602873
"p0860","duplets",8,4,-0.00132070004013474,-0.275940003158347,0.00478618549328951
"r3677","ordinal position",18,12,-0.124632544677844,-0.00566797131801763,21.9889159074704
"r3677","transitional probability",6,12,-0.0957049862351336,-0.139096323899199,0.688048278720074
"r3677","word identity",12,36,-0.00566797131801763,-0.0329453388606137,0.172041676122922
"r3677","duplets",8,4,0.0776187040460737,-0.1722413220462,-0.450639272411379
"v7462","ordinal position",18,12,0.0541473730721519,-0.0312253764305818,-1.73408231578982
"v7462","transitional probability",6,12,0.136671199300298,0.0128854599580787,10.6066217073307
"v7462","word identity",12,36,-0.0312253764305818,-0.0331399067979967,0.942228854803821
