"subject","delta_rt","sess","trial","tgt_word","N","rt_mean","rt_median","sd","se","ci","delta","cond_order"
"l1982","D1-3","rand",11,4,18,457.288888888893,441.650000000081,87.9351491584336,20.7265134248596,43.7291208979402,62.8999999999069,"rand-struct"
"l1982","D1-2","struct",8,1,17,532.405882352936,531.900000000023,134.293724120839,32.5710123181046,69.0474616141508,44.85,"rand-struct"
"l1982","D2-3","struct",4,1,16,509.043750000003,487.050000000017,96.8116450898344,24.2029112724586,51.5872842329055,110.25,"rand-struct"
"l1982","D1-3","struct",1,1,17,379.476470588235,376.799999999988,54.4971390236655,13.2174976757966,28.0198433653659,155.100000000035,"rand-struct"
"l1982","D1-2","struct",10,2,17,513.564705882345,458.600000000093,145.836183529568,35.3704699252572,74.9820466304988,-10.7,"rand-struct"
"l1982","D2-3","struct",2,2,17,474.858823529415,469.300000000003,77.5109674402881,18.7991709353011,39.852462086711,44.95,"rand-struct"
"l1982","D1-3","struct",9,2,18,431.383333333335,424.349999999977,37.2052218030052,8.76935487748486,18.5017215280661,34.2500000001164,"rand-struct"
"l1982","D1-2","struct",12,3,17,559.776470588226,553.599999999977,87.0724592610429,21.1181733303277,44.7685275528346,170.65,"rand-struct"
"l1982","D2-3","struct",7,3,18,417.183333333333,382.950000000012,79.1674639794812,18.6599502097443,39.3690536341126,35.05,"rand-struct"
"l1982","D1-3","struct",6,3,12,334.699999999992,347.899999999994,59.3436371713793,17.1310324477937,37.7051481946422,205.699999999983,"rand-struct"
"l1982","D1-2","struct",5,4,18,519.122222222223,518.350000000006,59.1794932244381,13.9487403220612,29.4292696226364,28.15,"rand-struct"
"l1982","D2-3","struct",3,4,17,530.282352941181,490.199999999983,92.3724068329803,22.4035994273473,47.4935091476638,87.85,"rand-struct"
"l1982","D1-3","struct",11,4,18,407.127777777767,402.349999999977,70.547721066767,16.6282573211893,35.0825563284661,116.000000000029,"rand-struct"
"u0807","D1-2","rand",8,1,14,655.178571428567,622.400000000023,133.405628866197,35.6541540488877,77.0261168799129,39.95,"struct-rand"
