"Subject","Block","Trial","Session","Syll","Cond_Order","Word","Position","Dial","Prev_ISI","Prev_Pos","Curr_ISI","Curr_Pos","ISI_Diff","Pos_Diff","X","Point"
"a2012",3,2,"struct","tu","rand-struct","4","3","2",379,1137,379,1137,0,0,14,"start"
"a2012",3,2,"struct","ro","rand-struct","2","1","1",56,168,56,168,0,0,14,"start"
"a2012",3,2,"rand","mi","rand-struct",NA,"2","2",0,0,122,366,0,0,1,"start"
"a2012",3,2,"rand","za","rand-struct",NA,"3","1",221,663,221,663,0,0,1,"start"
"a2012",3,2,"rand","ga","rand-struct",NA,"1","3",152,456,152,456,0,0,1,"start"
"a2012",3,3,"struct","tu","rand-struct","4","3","1",0,0,379,1137,0,0,18,"start"
"a2012",3,3,"struct","mi","rand-struct","3","1","3",198,594,198,594,0,0,18,"start"
"a2012",3,3,"struct","po","rand-struct","3","2","2",451,1353,451,1353,0,0,19,"start"
"a2012",3,3,"rand","la","rand-struct",NA,"3","1",0,0,576,1728,0,0,1,"start"
"a2012",3,3,"rand","ro","rand-struct",NA,"1","3",221,663,221,663,0,0,1,"start"
"a2012",3,3,"rand","po","rand-struct",NA,"2","2",377,1131,377,1131,0,0,1,"start"
"a2012",3,4,"struct","tu","rand-struct","4","3","3",0,0,56,168,0,0,7,"start"
"a2012",3,4,"struct","nu","rand-struct","1","1","2",458,1374,458,1374,0,0,7,"start"
"a2012",3,4,"struct","ga","rand-struct","1","2","1",56,168,56,168,0,0,7,"start"
"a2012",3,4,"rand","di","rand-struct",NA,"3","2",0,0,161,483,0,0,1,"start"
"a2012",3,4,"rand","be","rand-struct",NA,"1","1",560,1680,560,1680,0,0,1,"start"
"a2012",3,4,"rand","ki","rand-struct",NA,"2","3",377,1131,377,1131,0,0,1,"start"
"a2012",3,5,"struct","nu","rand-struct","1","1","2",0,0,224,672,0,0,5,"start"
"a2012",3,5,"struct","ga","rand-struct","1","2","1",198,594,198,594,0,0,6,"start"
"a2012",3,5,"struct","di","rand-struct","1","3","3",458,1374,458,1374,0,0,6,"start"
"a2012",3,5,"rand","za","rand-struct",NA,"1","3",0,0,560,1680,0,0,1,"start"
"a2012",3,5,"rand","be","rand-struct",NA,"2","2",560,1680,560,1680,0,0,1,"start"
"a2012",3,5,"rand","la","rand-struct",NA,"3","1",161,483,161,483,0,0,1,"start"
"a2012",3,6,"struct","po","rand-struct","3","2","2",0,0,212,636,0,0,15,"start"
