"rt","tgt_pos"
331.900000000023,"1"
395.699999999953,"1"
481.599999999977,"1"
471.699999999953,"1"
459.599999999977,"1"
839.5,"1"
431.29999999993,"1"
396.899999999907,"2"
408.79999999993,"2"
420.79999999993,"2"
378.699999999953,"2"
496.599999999977,"2"
508.399999999907,"2"
584.399999999907,"2"
394.199999999953,"2"
448.29999999993,"2"
412,"2"
389.899999999907,"2"
523.79999999993,"2"
421.79999999993,"2"
305.699999999953,"2"
405.300000000047,"2"
457.100000000093,"2"
325.100000000093,"2"
309.100000000093,"2"
285,"2"
464.79999999993,"2"
244.70000000007,"2"
232.70000000007,"2"
308.70000000007,"2"
300.5,"2"
380.5,"2"
470.300000000047,"2"
338.199999999953,"2"
364.100000000093,"2"
288,"2"
228,"2"
305.90000000014,"2"
285.90000000014,"2"
361.40000000014,"3"
353.59999999986,"3"
327.300000000047,"3"
317.199999999953,"3"
383.09999999986,"3"
399.09999999986,"3"
461,"3"
392.899999999907,"3"
468.799999999814,"3"
506.5,"3"
398.5,"3"
446.399999999907,"3"
402.399999999907,"3"
388.399999999907,"3"
578.100000000093,"3"
603.59999999986,"1"
661.600000000093,"1"
613.300000000047,"1"
58.8999999999069,"1"
794.899999999907,"1"
702.800000000047,"1"
626.100000000093,"2"
315.899999999907,"2"
272,"2"
201.899999999907,"2"
551.699999999953,"2"
327.600000000093,"2"
271.699999999953,"2"
377.5,"2"
319.399999999907,"2"
283.40000000014,"2"
339.200000000186,"2"
241,"2"
255,"2"
339,"2"
224.90000000014,"2"
316.90000000014,"2"
282.700000000186,"2"
232.600000000093,"2"
446.5,"1"
386.300000000047,"1"
358.299999999814,"1"
422.199999999953,"1"
372.09999999986,"1"
371.90000000014,"1"
577.800000000047,"1"
313.799999999814,"1"
403.59999999986,"1"
353.5,"1"
387.299999999814,"1"
351.199999999953,"1"
375,"1"
371.100000000093,"1"
343.09999999986,"1"
402.90000000014,"1"
410.59999999986,"3"
352.59999999986,"3"
350.5,"3"
378.5,"3"
288.5,"3"
412.299999999814,"3"
396.199999999953,"3"
328.09999999986,"3"
234,"3"
432,"3"
423.799999999814,"3"
293.699999999953,"3"
303.5,"3"
373.5,"3"
299.300000000047,"3"
311.199999999953,"3"
365.199999999953,"2"
399,"2"
510.899999999907,"2"
368.699999999953,"2"
334.600000000093,"2"
522.600000000093,"2"
370.5,"2"
366.399999999907,"2"
294.300000000047,"2"
420.40000000014,"2"
338.100000000093,"2"
400.100000000093,"2"
543.899999999907,"2"
