"subject","block","trial","target_num","target","tgt_word","tgt_pos","detect","rt","rt_secs","rt_sc"
"m0085",5,14,2,"se",2,3,1,659.5,0.6595,1.1542907529944
"m0085",5,14,3,"se",2,3,1,535.29999999993,0.53529999999993,0.433190487157799
"m0085",5,14,4,"se",2,3,1,381.400000000023,0.381400000000023,-0.460346798769121
"m0085",5,14,5,"se",2,3,1,581.20000000007,0.58120000000007,0.699684063663292
"m0085",5,14,6,"se",2,3,1,323.100000000093,0.323100000000093,-0.798834282651567
"m0085",5,14,7,"se",2,3,1,431.100000000093,0.431100000000093,-0.171790573228788
"m0085",5,14,8,"se",2,3,1,400.900000000023,0.400900000000023,-0.347130573456675
"m0085",5,14,9,"se",2,3,1,396.800000000047,0.396800000000047,-0.370935010573512
"m0085",5,14,10,"se",2,3,1,566.70000000007,0.56670000000007,0.615497639713012
"m0085",5,14,11,"se",2,3,1,602.800000000047,0.602800000000047,0.825092805547715
"m0085",5,14,12,"se",2,3,1,422.600000000093,0.422600000000093,-0.22114123554447
"m0085",5,14,13,"se",2,3,1,930.400000000023,0.930400000000023,2.72712539079667
"m0085",5,14,14,"se",2,3,1,534.400000000023,0.534400000000023,0.427965122913149
"m0085",5,14,15,"se",2,3,1,644.300000000047,0.644300000000047,1.06604015685369
"m0085",5,14,16,"se",2,3,1,450.300000000047,0.450300000000047,-0.0603161359983387
"m0085",5,14,17,"se",2,3,1,392.300000000047,0.392300000000047,-0.397061831799461
"m0085",5,14,18,"se",2,3,1,326.100000000093,0.326100000000093,-0.781416401834267
"m0085",5,15,1,"be",4,2,0,NA,NA,NA
"m0085",5,15,2,"be",4,2,0,NA,NA,NA
"m0085",5,15,3,"be",4,2,0,NA,NA,NA
"m0085",5,15,4,"be",4,2,0,NA,NA,NA
"m0085",5,15,5,"be",4,2,0,NA,NA,NA
"m0085",5,15,6,"be",4,2,0,NA,NA,NA
"m0085",5,15,7,"be",4,2,1,431.20000000007,0.43120000000007,-0.171209977201678
"m0085",5,15,9,"be",4,2,0,NA,NA,NA
"m0085",5,15,10,"be",4,2,1,413,0.413,-0.276878454160368
"m0085",5,15,11,"be",4,2,0,NA,NA,NA
"m0085",5,15,13,"be",4,2,0,NA,NA,NA
"m0085",5,15,15,"be",4,2,0,NA,NA,NA
"m0085",5,15,17,"be",4,2,0,NA,NA,NA
"m0085",6,16,1,"ki",2,2,1,488,0.488,0.158568566272118
"m0085",6,16,2,"ki",2,2,1,587.900000000023,0.587900000000023,0.738583997488322
"m0085",6,16,3,"ki",2,2,1,391.800000000047,0.391800000000047,-0.399964811935677
"m0085",6,16,4,"ki",2,2,1,599.70000000007,0.59970000000007,0.807094328703305
"m0085",6,16,5,"ki",2,2,1,423.599999999977,0.423599999999977,-0.21533527527271
"m0085",6,16,6,"ki",2,2,1,427.5,0.4275,-0.192692030210087
"m0085",6,16,7,"ki",2,2,1,407.400000000023,0.407400000000023,-0.30939183168586
"m0085",6,16,8,"ki",2,2,0,NA,NA,NA
"m0085",6,16,9,"ki",2,2,1,559.300000000047,0.559300000000047,0.572533533696873
"m0085",6,16,10,"ki",2,2,1,663.20000000007,0.66320000000007,1.17577280600281
"m0085",6,16,11,"ki",2,2,1,423.100000000093,0.423100000000093,-0.218238255408253
