subject,block,targets,n_responses,accuracy,precision,hits,misses,false_positives
12,17,18,19,0.944444444444444,0.944444444444444,17,1,1
12,18,18,28,0.388888888888889,0.411764705882353,7,11,10
12,19,18,19,1,0.947368421052632,18,0,1
12,20,18,31,0.222222222222222,0.235294117647059,4,14,13
12,21,18,18,0.833333333333333,1,15,3,0
12,22,18,19,0.944444444444444,0.944444444444444,17,1,1
12,23,18,20,0.888888888888889,0.888888888888889,16,2,2
12,24,18,19,0.944444444444444,0.944444444444444,17,1,1
13,1,18,19,0.222222222222222,0.8,4,14,1
13,2,18,19,0.888888888888889,0.941176470588235,16,2,1
13,3,18,19,1,0.947368421052632,18,0,1
13,4,18,18,1,1,18,0,0
13,5,18,18,1,1,18,0,0
13,6,18,20,0.944444444444444,0.894736842105263,17,1,2
13,7,18,19,1,0.947368421052632,18,0,1
13,8,18,18,1,1,18,0,0
13,9,18,24,0.388888888888889,0.538461538461538,7,11,6
13,10,18,19,1,0.947368421052632,18,0,1
13,11,18,18,1,1,18,0,0
13,12,18,18,0.944444444444444,1,17,1,0
13,13,18,18,1,1,18,0,0
13,14,18,19,0.944444444444444,0.944444444444444,17,1,1
13,15,18,18,0.944444444444444,1,17,1,0
13,16,18,18,1,1,18,0,0
13,17,18,19,0.888888888888889,0.941176470588235,16,2,1
13,18,18,30,0.333333333333333,0.333333333333333,6,12,12
13,19,18,18,1,1,18,0,0
13,20,18,19,1,0.947368421052632,18,0,1
13,21,18,27,0.333333333333333,0.4,6,12,9
13,22,18,29,0.333333333333333,0.352941176470588,6,12,11
13,23,18,20,0.777777777777778,0.875,14,4,2
13,24,18,19,0.833333333333333,0.9375,15,3,1
14,1,18,21,0.611111111111111,0.785714285714286,11,7,3
14,2,18,18,0.722222222222222,1,13,5,0
14,3,18,29,0.277777777777778,0.3125,5,13,11
14,4,18,18,0.777777777777778,1,14,4,0
14,5,18,18,0.777777777777778,1,14,4,0
14,6,18,18,0,NaN,0,18,0
14,7,18,19,0.611111111111111,0.916666666666667,11,7,1
