"subject","block","trial","target_num","stream_pos","target","tgt_word","tgt_pos","detect","rt","rt_secs","rt_sc"
"m0085",5,14,7,72,"se",2,3,1,431.100000000093,0.431100000000093,-0.14179335348195
"m0085",5,14,8,87,"se",2,3,1,400.900000000023,0.400900000000023,-0.318606433695101
"m0085",5,14,9,105,"se",2,3,1,396.800000000047,0.396800000000047,-0.342610858492054
"m0085",5,14,10,120,"se",2,3,1,566.70000000007,0.56670000000007,0.652109086148633
"m0085",5,14,11,126,"se",2,3,1,602.800000000047,0.602800000000047,0.863465119118033
"m0085",5,14,12,132,"se",2,3,1,422.600000000093,0.422600000000093,-0.191558624402754
"m0085",5,14,13,162,"se",2,3,1,930.400000000023,0.930400000000023,2.78147720778325
"m0085",5,14,14,168,"se",2,3,1,534.400000000023,0.534400000000023,0.463001056649301
"m0085",5,14,15,177,"se",2,3,1,644.300000000047,0.644300000000047,1.10643673596667
"m0085",5,14,16,186,"se",2,3,1,450.300000000047,0.450300000000047,-0.0293823885787547
"m0085",5,14,17,195,"se",2,3,1,392.300000000047,0.392300000000047,-0.368957178391303
"m0085",5,14,18,204,"se",2,3,1,326.100000000093,0.326100000000093,-0.756540817797771
"m0085",5,15,1,11,"be",4,2,0,NA,NA,NA
"m0085",5,15,2,20,"be",4,2,0,NA,NA,NA
"m0085",5,15,3,26,"be",4,2,0,NA,NA,NA
"m0085",5,15,4,35,"be",4,2,0,NA,NA,NA
"m0085",5,15,5,68,"be",4,2,0,NA,NA,NA
"m0085",5,15,6,77,"be",4,2,0,NA,NA,NA
"m0085",5,15,7,83,"be",4,2,1,431.20000000007,0.43120000000007,-0.141207879706546
"m0085",5,15,9,95,"be",4,2,0,NA,NA,NA
"m0085",5,15,10,116,"be",4,2,1,413,0.413,-0.247764106855031
"m0085",5,15,11,122,"be",4,2,0,NA,NA,NA
"m0085",5,15,13,140,"be",4,2,0,NA,NA,NA
"m0085",5,15,15,155,"be",4,2,0,NA,NA,NA
"m0085",5,15,17,182,"be",4,2,0,NA,NA,NA
"m0085",6,16,1,26,"ki",2,2,1,488,0.488,0.191341224799127
"m0085",6,16,2,32,"ki",2,2,1,587.900000000023,0.587900000000023,0.7762295265626
"m0085",6,16,3,38,"ki",2,2,1,391.800000000047,0.391800000000047,-0.371884547268998
"m0085",6,16,4,50,"ki",2,2,1,599.70000000007,0.59970000000007,0.845315432076462
"m0085",6,16,5,62,"ki",2,2,1,423.599999999977,0.423599999999977,-0.185703886648045
"m0085",6,16,6,68,"ki",2,2,1,427.5,0.4275,-0.162870409401894
"m0085",6,16,7,86,"ki",2,2,1,407.400000000023,0.407400000000023,-0.280550638285074
"m0085",6,16,8,92,"ki",2,2,0,NA,NA,NA
"m0085",6,16,9,98,"ki",2,2,1,559.300000000047,0.559300000000047,0.608784026758622
"m0085",6,16,10,122,"ki",2,2,1,663.20000000007,0.66320000000007,1.21709127954365
"m0085",6,16,11,134,"ki",2,2,1,423.100000000093,0.423100000000093,-0.18863125552506
"m0085",6,16,12,149,"ki",2,2,1,576.90000000014,0.57690000000014,0.711827411254009
"m0085",6,16,13,155,"ki",2,2,1,452.90000000014,0.45290000000014,-0.0141600704141996
"m0085",6,16,14,182,"ki",2,2,1,470.699999999953,0.470699999999953,0.0900542616306257
"m0085",6,16,15,188,"ki",2,2,1,466.699999999953,0.466699999999953,0.0666353106090706
"m0085",6,16,16,194,"ki",2,2,1,374.699999999953,0.374699999999953,-0.472000562886696
"m0085",6,16,17,203,"ki",2,2,1,748.600000000093,0.748600000000093,1.71708588385399
"m0085",6,16,18,209,"ki",2,2,1,480.5,0.4805,0.147430691633711
"m0085",6,17,1,9,"di",1,3,1,696.299999999814,0.696299999999814,1.41088309924552
"m0085",6,17,2,21,"di",1,3,1,696.299999999814,0.696299999999814,1.41088309924552
"m0085",6,17,3,30,"di",1,3,1,462.199999999953,0.462199999999953,0.0402889907098212
"m0085",6,17,4,39,"di",1,3,1,348.100000000093,0.348100000000093,-0.627736587179218
"m0085",6,17,5,54,"di",1,3,1,422,0.422,-0.195071467056532
"m0085",6,17,6,66,"di",1,3,1,581.90000000014,0.58190000000014,0.741101100030952
