data,test,n,w,CI.low,CI.hi,p
diss,word identity,468,2178413785,-0.0029243627939029345,0.004092609204750575,0.7444618520407643
diss,duplet identity,156,245305235.5,0.00019791385575404496,0.012503005512879825,0.04349883401451357
diss,ordinal position,468,2066450694.5,-0.029036345373090536,-0.02189468342776237,1.4484317813997336e-44
diss,transitional probability,239,502944471,-0.0638366716186857,-0.05369215899603651,1.078923731172588e-112
diss,word identity,468,2159532567.5,-0.007507128258011612,-4.583535220110414e-4,0.025827813427477805
diss,duplet identity,156,246792988.5,0.0029541836863591245,0.015189452614891576,0.003638764195967238
diss,ordinal position,468,2054508932,-0.031475908389194056,-0.024409760550249952,5.997281834509188e-54
diss,transitional probability,239,503974520,-0.06282336602768743,-0.05269458078110787,2.693548764083435e-109
diss,word identity,468,2173510985.5,-0.0043895073348537254,0.002619137025689401,0.6234244003648972
diss,duplet identity,156,245853713.5,0.0010247366130852788,0.013225370504924523,0.022280692422413633
diss,ordinal position,468,2058250675,-0.031061097208504338,-0.023935001966268233,2.530355845776573e-51
diss,transitional probability,239,501366641,-0.0651147177861261,-0.055032652047455895,9.604291744796272e-118
diss,word identity,468,2183758498.5,-0.0019608697903679816,0.00506818148109551,0.38867407416899546
diss,duplet identity,156,247701995,0.005469546640980256,0.017625509520708522,1.982876316450704e-4
diss,ordinal position,468,2052556783.5,-0.032048198101595496,-0.024972263733967874,6.271451442348076e-56
diss,transitional probability,239,504303534,-0.06247596004683695,-0.052343548430004966,4.905977586839819e-108
diss,word identity,468,2179165835,-0.00313407798627139,0.0038319872202114743,0.8445710371486643
diss,duplet identity,156,247608043.5,0.004939297500326339,0.017095581709664028,3.8244746590013857e-4
diss,ordinal position,468,2078733680,-0.02649784079042264,-0.01935847164393824,2.1916814132520482e-36
diss,transitional probability,239,497615779,-0.06822352838478837,-0.058139218752063813,2.4564789314407087e-130
diss,word identity,468,2191467198.5,-2.2174679485128385e-4,0.006812518471074825,0.0676397450879964
diss,duplet identity,156,246726284,0.003166425282027324,0.015502214800874067,0.0030229109725399034
diss,ordinal position,468,2048538664,-0.03256914279486567,-0.02552670128924786,1.2156824749235281e-58
diss,transitional probability,239,503353841,-0.06389462393053641,-0.053696190296774374,1.412724080044257e-111
diss,word identity,468,2185856355,-0.0014286793907132538,0.005564485887790044,0.24968337581523672
diss,duplet identity,156,244564075,-0.0012685205952247076,0.01101659336384722,0.11850103950817699
diss,ordinal position,468,2048733093,-0.03275623975205536,-0.025676329418355497,1.3697948156330404e-58
diss,transitional probability,239,510302356,-0.057650144928200815,-0.04744934891264044,1.19030652173126e-89
diss,word identity,468,2179112464.5,-0.0027878763042756775,0.004256207927818393,0.685319842083091
diss,duplet identity,156,247893824.5,0.005428415668904139,0.017641865205668204,2.1364106962158094e-4
diss,ordinal position,468,2051057457.5,-0.03218330095988195,-0.025135302548602936,4.910685740561333e-57
diss,transitional probability,239,503569401,-0.06341611644106107,-0.05327885176192422,3.012319967963807e-110
diss,word identity,468,2176459178.5,-0.0036717831188147337,0.0033392673655393366,0.9258019085093271
diss,duplet identity,156,246461854.5,0.0028658328179941785,0.01508599665161736,0.0040001169644263935
diss,ordinal position,468,2076209210.5,-0.026927312095388782,-0.019833848826718056,3.4885378274816244e-38
diss,transitional probability,239,501556386,-0.06542511254320411,-0.05520735354645948,5.7181933783590475e-117
diss,word identity,468,2174936127,-0.003994988921388666,0.0030133592414885047,0.7852136816059679
diss,duplet identity,156,246304467.5,0.002202009753496085,0.014375168626944945,0.0076006076091104675
diss,ordinal position,468,2059284865.5,-0.030467707005522763,-0.02339235602176038,4.822302763938369e-50
diss,transitional probability,239,502188484,-0.06420382227265503,-0.05413736473822243,4.267698399186749e-115
diss,word identity,468,2170869427.5,-0.004728984265886877,0.002272065243969494,0.49535661469067516
diss,duplet identity,156,246797790.5,0.0028850358807957464,0.015121832364493347,0.0038401244519667755
diss,ordinal position,468,2063447873.5,-0.029695888722126813,-0.022567981247393756,4.638378967030055e-47
diss,transitional probability,239,495892950,-0.06958325688442259,-0.059492828196616256,4.658149145730347e-136
diss,word identity,468,2175195787,-0.0038490945079522366,0.003212167036935153,0.8626684666151365
diss,duplet identity,156,242189135.5,-0.0053951904832659145,0.006835573246709323,0.818516175660911
diss,ordinal position,468,2050470438.5,-0.03235902593372766,-0.025261225992181696,7.459947864424757e-57
diss,transitional probability,239,500841348,-0.06529676478339468,-0.055237634586842325,1.6887456598110083e-119
diss,word identity,468,2176922705.5,-0.0035923984266614424,0.003433344410040543,0.9661214906505402
diss,duplet identity,156,245227198.5,5.063226324239431e-4,0.012764152856699082,0.03413962191924028
diss,ordinal position,468,2055996539,-0.031029581068308006,-0.023969795239245095,2.054759941806656e-52
diss,transitional probability,239,500056692,-0.06622326492692736,-0.056144799505427626,1.9392301265499915e-122
diss,word identity,468,2171002215.5,-0.004528358509909087,0.002510093461005794,0.5767624561439806
diss,duplet identity,156,246431562,0.0022681224871776468,0.014551175207931625,0.0071489408020736205
diss,ordinal position,468,2058492816.5,-0.030872357473757574,-0.023795226592656236,1.884702250950878e-51
diss,transitional probability,239,503430965,-0.06352904361461421,-0.05338431489552316,5.6437905278324996e-111
diss,word identity,468,2168765545,-0.005366114318515735,0.0016530071160197734,0.30395248288688675
diss,duplet identity,156,245199532,3.0424361183700515e-4,0.01257081887593928,0.03927781454526064
diss,ordinal position,468,2057595731.5,-0.030748584944282155,-0.023668591473926897,5.912642097681124e-51
diss,transitional probability,239,496047217,-0.06999471606822,-0.05985554060615321,3.35981834829876e-136
diss,word identity,468,2177880949.5,-0.0033124908971293495,0.0037101010842778056,0.9140030137457602
diss,duplet identity,156,244722483,-0.0010578476616503116,0.01111172563639767,0.10491695526088714
diss,ordinal position,468,2059397378.5,-0.030540406292087197,-0.023433214570811805,8.174333460255872e-50
diss,transitional probability,239,500653264,-0.06561135932944069,-0.055540299997699334,2.0145171917696416e-120
diss,word identity,468,2165012879.5,-0.006075066398094494,9.574202167577858e-4,0.15670914410282819
diss,duplet identity,156,247631372,0.004924276210943176,0.017130950397095883,3.9015809951935016e-4
diss,ordinal position,468,2046660604.5,-0.03346296255858209,-0.026349839850852656,7.759683073867945e-61
diss,transitional probability,239,505623775,-0.06135715814424829,-0.051215648949702285,5.2426102958769524e-104
diss,word identity,468,2181526047,-0.002791968172138941,0.004228954478193481,0.6908777625636604
diss,duplet identity,156,246557782.5,0.0024709408392479507,0.01476868501142902,0.005967604713314702
diss,ordinal position,468,2070593184.5,-0.028187702852024592,-0.021039564382718003,1.0415201282880706e-41
diss,transitional probability,239,500130443,-0.06621414468066823,-0.0561191276278034,5.730712363116473e-122
diss,word identity,468,2180847957,-0.002496323573353658,0.004495777581816357,0.575887681908247
diss,duplet identity,156,246262093,0.0019625575954966457,0.014148682917204388,0.009518407922436162
diss,ordinal position,468,2059812720,-0.030594679202609634,-0.02350397646947213,2.9144541349494295e-50
diss,transitional probability,239,498119078,-0.0684743954104889,-0.05829562407073206,7.030945347095262e-129
diss,word identity,468,2186458200.5,-0.00139625074044482,0.005591857941237181,0.24305825709316228
diss,duplet identity,156,243236528.5,-0.00347862037940172,0.00883342775389146,0.39449199823069925
diss,ordinal position,468,2074200737,-0.027286903394284925,-0.020161430861927416,5.2181409063913086e-39
diss,transitional probability,239,501027908,-0.06552883367652962,-0.05535149978305323,1.6404293716375178e-118
diss,word identity,468,2167749132,-0.005460595671115979,0.0015236362352606045,0.2710561329484429
diss,duplet identity,156,246473328,0.002341665061661617,0.01451187981994607,0.006604091341405796
diss,ordinal position,468,2060968056.5,-0.03018374871800574,-0.023089308422105728,9.983024415468266e-49
diss,transitional probability,239,504091571,-0.06291303375584448,-0.052737969959770266,1.0333523483004891e-108
diss,word identity,468,2184257569.5,-0.00185124833379474,0.005154384953261957,0.35914571786354915
diss,duplet identity,156,245879978.5,0.0012756147848250413,0.013412403459769033,0.017709889408414583
diss,ordinal position,468,2046830314,-0.03315259528632009,-0.026049040181701105,7.039399261884637e-60
diss,transitional probability,239,501163170,-0.06543680880659913,-0.055331866294408054,1.7053401792231815e-118
diss,word identity,468,2173855095,-0.0041991610019317845,0.0028133858310692705,0.6988298009668688
diss,duplet identity,156,245797154.5,0.0012198152190415414,0.013525257422370342,0.018815780361893672
diss,ordinal position,468,2047363473.5,-0.03328177917731992,-0.026206716391896676,1.188271583550607e-60
diss,transitional probability,239,504958839,-0.06208577299693789,-0.051938207140675596,2.654841062288224e-106
diss,word identity,468,2179263995.5,-0.003190389156973195,0.0038408651082410435,0.85745637043179
diss,duplet identity,156,244465591,-0.0011248397059987932,0.011225189612649459,0.10788195441524726
diss,ordinal position,468,2050895420,-0.03250316822038437,-0.02538662352895943,6.025674044769438e-57
diss,transitional probability,239,501111493,-0.06546460740174258,-0.05535942273922495,4.970263031696768e-119
diss,word identity,468,2178721213,-0.0030070655546812607,0.004057941664543456,0.7721683944494204
diss,duplet identity,156,244734788,-5.236354716307255e-4,0.011716616032167509,0.07383098902001425
diss,ordinal position,468,2052765020,-0.032205816388429544,-0.02510847176489131,4.325745846212185e-56
diss,transitional probability,239,500826665,-0.06576424341119716,-0.055639263198749206,1.7826807423193128e-119
diss,word identity,468,2163064348,-0.006421967420890051,5.867046609629115e-4,0.10420046637037199
diss,duplet identity,156,243458477,-0.0038595638478204283,0.008335644673253276,0.4742520107517436
diss,ordinal position,468,2045936128,-0.03335711651755879,-0.026277964682674355,4.054002731543475e-61
diss,transitional probability,239,502700100,-0.06394046478113345,-0.05387066555914303,1.4624688740818481e-113
diss,word identity,468,2189231789,-8.337125769073694e-4,0.0062080811558589116,0.13691941176890202
diss,duplet identity,156,246327949,0.002147548389063184,0.014495200008346814,0.008184886604893363
diss,ordinal position,468,2061880022,-0.0299256751234231,-0.022847164039622482,5.939644632764043e-48
diss,transitional probability,239,499192337,-0.06704663673647769,-0.056940037226566556,1.0097714353967529e-124
diss,word identity,468,2172400421,-0.004690753147386711,0.0023624780977571924,0.520280945452618
diss,duplet identity,156,243496691.5,-0.0027627230474260717,0.009416384009404463,0.286815259236776
diss,ordinal position,468,2068432455,-0.028582414785429115,-0.021481389651054686,1.4414073690205003e-043
diss,transitional probability,239,501444468,-0.06524989915919696,-0.05512752606599137,1.4762333238546078e-117
diss,word identity,468,2185190545.5,-0.001896901459386065,0.005121964549010335,0.37135645857571137
diss,duplet identity,156,245012230.5,-0.0011344614541010448,0.01124371612598238,0.10820642883653807
diss,ordinal position,468,2059700048,-0.03047143802907975,-0.023389387221990205,6.821019091225171e-50
diss,transitional probability,239,506531155,-0.06103410832118475,-0.050852036168238406,2.940563256495046e-101
diss,word identity,468,2177865987,-0.0034149041204268055,0.003607102549106787,0.9605513331390787
diss,duplet identity,156,247346590.5,0.004073092134077195,0.016287052554815613,0.0010865010721527357
diss,ordinal position,468,2071684473.5,-0.0276919748168913,-0.020626238995405315,1.123875315364888e-40
diss,transitional probability,239,503311198,-0.06372506585709561,-0.0536113236075951,8.737201658373992e-112
diss,word identity,468,2168251378.5,-0.005394219040911681,0.0016702323986241639,0.3038139116038492
diss,duplet identity,156,246642928,0.0028112664415393916,0.015019405256037852,0.004196555508545567
diss,ordinal position,468,2075520439.5,-0.026783998393519463,-0.019693630911325966,7.43908239362934e-38
diss,transitional probability,239,501452979,-0.06544753660203878,-0.05524333866286377,2.1969198769712713e-117
diss,word identity,468,2184954499,-0.0020572702591405596,0.005019580993452054,0.415579717241217
diss,duplet identity,156,243245550,-0.00377176657162976,0.008548929705716928,0.44808743088704944
diss,ordinal position,468,2057196154.5,-0.030870692968273054,-0.02382061107076043,6.459082597257073e-52
diss,transitional probability,239,500486425,-0.06651976799243123,-0.05634400033225883,5.519854160179404e-121
diss,word identity,468,2184686544.5,-0.0015043813911122545,0.005534720774684941,0.26399462946767493
diss,duplet identity,156,245547042,2.481133591081923e-4,0.012519418499228416,0.04209183422377644
